path,original_class,label,class_name,split
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (11).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (64).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (85).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (87).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (6).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (19).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (32).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (34).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (58).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (94).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (77).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (28).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (59).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (89).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (49).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (95).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (3).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (72).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (96).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (50).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (39).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (43).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (87).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (20).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (29).jpg,NonDemented,0,CN,val
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (70).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (64).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (55).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (61).jpg,NonDemented,0,CN,train
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/8 (76).jpg,NonDemented,0,CN,test
Alzheimer_MRI_4_classes_dataset/NonDemented/NonDemented_7th_part/9 (27).jpg,NonDemented,0,CN,train
